"","ano","regiao","estado","estacao","qtd","variavel","min","max","zerados"
"58","2018","CO","DF","GAMA (PONTE ALTA)","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-3.3","21.6","692"
"59","2018","CO","DF","GAMA (PONTE ALTA)","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","9.9","35.1","422"
"60","2018","CO","DF","GAMA (PONTE ALTA)","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","8.1","33","518"
"61","2018","CO","DF","GAMA (PONTE ALTA)","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-1.1","21.9","913"
"62","2018","CO","DF","GAMA (PONTE ALTA)","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-4.1","20.9","886"
"63","2018","CO","DF","GAMA (PONTE ALTA)","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","14","95","1394"
"64","2018","CO","DF","GAMA (PONTE ALTA)","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","12","95","1072"
"65","2018","CO","DF","GAMA (PONTE ALTA)","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","13","95","921"
"66","2018","CO","DF","GAMA (PONTE ALTA)","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","110"
"67","2018","CO","DF","GAMA (PONTE ALTA)","8760","VENTO..RAJADA.MAXIMA..m.s.","0.3","20.7","804"
"68","2018","CO","DF","GAMA (PONTE ALTA)","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0.1","10.1","420"
"69","2018","CO","DF","PARANOA (COOPA-DF)","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","48.8","8177"
"70","2018","CO","DF","PARANOA (COOPA-DF)","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","890.9","907.1","528"
"71","2018","CO","DF","PARANOA (COOPA-DF)","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","890.9","907.1","690"
"72","2018","CO","DF","PARANOA (COOPA-DF)","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","890.5","907.1","692"
"73","2018","CO","DF","PARANOA (COOPA-DF)","8760","RADIACAO.GLOBAL..KJ.m..","0","4292.9","3714"
"74","2018","CO","DF","PARANOA (COOPA-DF)","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","9.2","33.6","463"
"75","2018","CO","DF","PARANOA (COOPA-DF)","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-7","23.2","861"
"76","2018","CO","DF","PARANOA (COOPA-DF)","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","10.4","34.2","519"
"77","2018","CO","DF","PARANOA (COOPA-DF)","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","9.1","33.1","604"
"78","2018","CO","DF","PARANOA (COOPA-DF)","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-3.3","23.8","1097"
"79","2018","CO","DF","PARANOA (COOPA-DF)","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-9","21","1115"
"80","2018","CO","DF","PARANOA (COOPA-DF)","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","13","99","1422"
"81","2018","CO","DF","PARANOA (COOPA-DF)","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","10","99","1166"
"82","2018","CO","DF","PARANOA (COOPA-DF)","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","11","99","989"
"83","2018","CO","DF","PARANOA (COOPA-DF)","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","177"
"84","2018","CO","DF","PARANOA (COOPA-DF)","8760","VENTO..RAJADA.MAXIMA..m.s.","0.6","23.3","843"
"85","2018","CO","DF","PARANOA (COOPA-DF)","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0.1","8.1","554"
"86","2018","CO","GO","GOIANIA","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","45.4","8220"
"87","2018","CO","GO","GOIANIA","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","923.1","940.9","494"
